gold_price,Time,price,Estimated_transaction_volume,market capitalisation,block_size,number_of_transaction,Mempool_count,Mempool_size,Confirmed_Transaction,google_trend,mining_difficulty,hash_rate_via_BTC,Transaction_fee
143.95,2020-01-02,6967.0,632780.0,130422953817.668,0.79468355952381,287215.0,1716.7447916666667,625878.9739583334,287215.0,26,13798783827516.0,105793194.82492831,0.31362859357195
145.86,2020-01-03,7343.1,936290.0,126280790200.20206,0.79468355952381,287215.0,1716.7447916666667,625878.9739583334,287215.0,29,13798783827516.0,105793194.82492831,0.31362859357195
147.39,2020-01-06,7759.1,786750.0,133388991086.87988,0.79468355952381,287215.0,4644.067708333333,2169052.8072916665,287215.0,30,13798783827516.0,105793194.82492831,0.31362859357195
147.97,2020-01-07,8155.7,1010000.0,140557168287.4443,0.79468355952381,287215.0,4644.067708333333,2169052.8072916665,287215.0,36,13798783827516.0,105793194.82492831,0.31362859357195
146.86,2020-01-08,8059.6,1190000.0,147798610895.50055,1.0634908943662,318019.0,8607.5,4346004.651041667,318019.0,38,13798783827516.0,105793194.82492831,0.797559971333301
146.03,2020-01-09,7842.4,786500.0,146089575425.2795,1.0634908943662,318019.0,8607.5,4346004.651041667,318019.0,29,13798783827516.0,107202820.5002444,0.797559971333301
146.91,2020-01-10,8187.1,1050000.0,141913856953.47913,1.0634908943662,318019.0,4564.328125,2119618.90625,318019.0,30,13798783827516.0,107202820.5002444,0.797559971333301
145.82,2020-01-13,8111.4,610660.0,148204228775.38776,0.825020880794702,283136.0,2893.1666666666665,1033114.65625,283136.0,27,13798783827516.0,105144996.70636413,0.41553243857684
145.69,2020-01-14,8829.2,1480000.0,147446058196.45944,0.825020880794702,283136.0,2893.1666666666665,1033114.65625,283136.0,38,13819009697340.3,105144996.70636413,0.41553243857684
146.54,2020-01-15,8818.3,1170000.0,159481192213.82108,0.825020880794702,283136.0,7369.734375,4974662.114583333,283136.0,38,13819009697340.3,105144996.70636413,0.41553243857684
146.31,2020-01-16,8726.9,748320.0,159960761751.8495,0.983502176100629,325947.0,7369.734375,4974662.114583333,325947.0,32,13819009697340.3,105144996.70636413,0.635615160118378
146.58,2020-01-17,8913.1,794110.0,158412991117.64667,0.983502176100629,325947.0,3413.4479166666665,1352525.8645833333,325947.0,33,13819009697340.3,106142030.5758593,0.635615160118378
146.74,2020-01-21,8732.6,540200.0,156848009983.54858,0.991580940789473,313661.0,6422.932291666667,2806072.8385416665,313661.0,29,14776367535689.0,108984910.82487468,0.458515308810101
146.79,2020-01-22,8678.5,509060.0,158564958350.98007,0.991580940789473,313661.0,6422.932291666667,2806072.8385416665,313661.0,27,14776367535689.0,108984910.82487468,0.458515308810101
147.12,2020-01-23,8405.1,722670.0,157502652064.02246,0.991580940789473,313661.0,3551.2760416666665,1695159.6979166667,313661.0,29,14776367535689.0,108984910.82487468,0.458515308810101
147.98,2020-01-24,8439.9,617020.0,152984928858.5764,1.03286961184211,313887.0,3551.2760416666665,1695159.6979166667,313887.0,26,14776367535689.0,108984910.82487468,0.427680014249043
148.99,2020-01-27,8866.6,706450.0,156302144661.30927,1.03286961184211,313887.0,2444.6666666666665,1027525.9791666666,313887.0,28,14776367535689.0,110600317.70289543,0.427680014249043
147.66,2020-01-28,9377.3,954200.0,161473602737.4275,1.2047869084507,340052.0,15803.401041666666,8726227.572916666,340052.0,33,14776367535689.0,110600317.70289543,0.610528708582643
148.46,2020-01-29,9298.9,749880.0,169518428144.8912,1.2047869084507,340052.0,15803.401041666666,8726227.572916666,340052.0,37,14776367535689.0,110086945.93868303,0.610528708582643
148.47,2020-01-30,9507.3,765210.0,168738228801.50467,1.2047869084507,340052.0,4953.916666666667,2034522.7552083333,340052.0,35,15466098935555.0,110086945.93868303,0.610528708582643
149.33,2020-01-31,9349.1,633370.0,172993102966.37723,1.2047869084507,340052.0,4953.916666666667,2034522.7552083333,340052.0,31,15466098935555.0,110086945.93868303,0.610528708582643
148.36,2020-02-03,9296.6,701390.0,169926610304.08496,0.962483086092715,303724.0,4866.5,2899722.578125,303724.0,28,15466098935555.0,110981010.23884848,0.539328694210698
146.43,2020-02-04,9193.9,651680.0,169406963182.6937,0.962483086092715,303724.0,4866.5,2899722.578125,303724.0,29,15466098935555.0,110981010.23884848,0.539328694210698
146.61,2020-02-05,9611.8,771460.0,167075369075.11478,1.08475906289308,368604.0,5065.286458333333,1995597.734375,368604.0,32,15466098935555.0,110981010.23884848,0.646349647840744
147.4,2020-02-06,9772.0,778670.0,174596806174.2994,1.08475906289308,368604.0,5065.286458333333,1995597.734375,368604.0,35,15466098935555.0,113456448.3565329,0.646349647840744
147.79,2020-02-07,9818.6,608960.0,177388314197.5645,1.08475906289308,368604.0,5065.286458333333,1995597.734375,368604.0,32,15466098935555.0,113456448.3565329,0.646349647840744
148.17,2020-02-10,9854.1,781220.0,184792100015.16357,0.951914071895424,317070.0,3014.5729166666665,1185951.4166666667,317070.0,36,15466098935555.0,110381152.56371304,0.629750954674672
147.66,2020-02-11,10229.5,791280.0,180145850760.05313,0.951914071895424,317070.0,3014.5729166666665,1185951.4166666667,317070.0,37,15521134947902.1,110381152.56371304,0.629750954674672
147.54,2020-02-12,10317.7,803250.0,186262984851.99295,0.951914071895424,317070.0,11413.421875,6539403.140625,317070.0,42,15521134947902.1,110381152.56371304,0.629750954674672
148.38,2020-02-13,10235.1,940300.0,188132988212.86743,1.22948190070922,340081.0,11413.421875,6539403.140625,340081.0,37,15521134947902.1,110381152.56371304,1.07157634286058
149.0,2020-02-14,10333.0,732510.0,186190344916.03287,1.22948190070922,340081.0,7342.380208333333,4139825.3229166665,340081.0,33,15521134947902.1,108294601.66974202,1.07157634286058
150.91,2020-02-18,10158.4,945910.0,176547652266.39673,1.02471081528662,341491.0,3257.2552083333335,1409402.3125,341491.0,33,15546745765529.0,111150618.92552446,0.711064131334146
151.79,2020-02-19,9609.4,905950.0,184918071499.1007,1.02471081528662,341491.0,5418.895833333333,3025634.921875,341491.0,35,15546745765529.0,111150618.92552446,0.711064131334146
152.41,2020-02-20,9602.4,870800.0,175312937106.92148,1.02471081528662,341491.0,5418.895833333333,3025634.921875,341491.0,35,15546745765529.0,111150618.92552446,0.711064131334146
154.7,2020-02-21,9684.5,716610.0,174871048291.16623,1.0670976038961,338484.0,7749.786458333333,5438748.411458333,338484.0,31,15546745765529.0,111150618.92552446,0.674567171104883
156.09,2020-02-24,9662.7,980000.0,181368043820.09412,1.0670976038961,338484.0,3485.734375,1275621.3958333333,338484.0,33,15546745765529.0,111729559.85059436,0.674567171104883
153.3,2020-02-25,9317.2,937970.0,175872097740.40662,1.06456358333333,334593.0,6378.010416666667,3327726.9791666665,334593.0,32,15546745765529.0,111729559.85059436,0.696835433033085
153.97,2020-02-26,8800.3,1320000.0,170478976467.6238,1.06456358333333,334593.0,6378.010416666667,3327726.9791666665,334593.0,36,15546745765529.0,109924843.8400675,0.696835433033085
154.0,2020-02-27,8818.6,1130000.0,160731785487.8149,1.06456358333333,334593.0,8190.260416666667,4133782.0572916665,334593.0,34,15486913440293.0,109924843.8400675,0.696835433033085
148.38,2020-02-28,8697.5,1080000.0,160149975301.41962,1.06456358333333,334593.0,8190.260416666667,4133782.0572916665,334593.0,37,15486913440293.0,109924843.8400675,0.696835433033085
149.2,2020-03-02,8904.8,1020000.0,155934421965.2728,0.989318215827338,307527.0,3889.1510416666665,1447005.1979166667,307527.0,31,15486913440293.0,110892855.15019846,0.523003183862084
153.89,2020-03-03,8761.4,1010000.0,162521881368.8758,0.989318215827338,307527.0,9078.119791666666,4776531.317708333,307527.0,30,15486913440293.0,110892855.15019846,0.523003183862084
154.16,2020-03-04,8757.9,759690.0,159816567727.14258,1.22606610179641,358745.0,9078.119791666666,4776531.317708333,358745.0,30,15486913440293.0,110892855.15019846,0.586698423854668
157.49,2020-03-05,9060.3,950760.0,159869936941.09732,1.22606610179641,358745.0,4895.53125,9505765.192708334,358745.0,32,15486913440293.0,119877988.6719989,0.586698423854668
157.55,2020-03-06,9134.8,1040000.0,165070261612.788,1.22606610179641,358745.0,4895.53125,9505765.192708334,358745.0,29,15486913440293.0,119877988.6719989,0.586698423854668
157.81,2020-03-09,7933.0,1540000.0,147076617271.6885,0.86939667721519,302694.0,3196.9739583333335,1208771.8072916667,302694.0,52,15486913440293.0,121197746.34545204,0.458046801973722
154.48,2020-03-10,7891.2,1200000.0,144664117909.4077,0.86939667721519,302694.0,3196.9739583333335,1208771.8072916667,302694.0,40,16552923967337.0,121197746.34545204,0.458046801973722
153.93,2020-03-11,7935.1,1100000.0,144410718987.88852,0.86939667721519,302694.0,11281.505208333334,6065770.479166667,302694.0,35,16552923967337.0,121197746.34545204,0.458046801973722
147.79,2020-03-12,4826.0,3220000.0,144948460093.29614,1.23511670198676,349978.0,11281.505208333334,6065770.479166667,349978.0,71,16552923967337.0,121197746.34545204,1.08868300434723
143.28,2020-03-13,5584.3,4170000.0,93092131086.97026,1.23511670198676,349978.0,33208.583333333336,20948695.447916668,349978.0,100,16552923967337.0,116070927.61330412,1.08868300434723
141.64,2020-03-16,5030.0,2550000.0,98632587514.00249,1.19345300840336,270399.0,4849.067708333333,2393789.1354166665,270399.0,69,16552923967337.0,116070927.61330412,1.13799991384835
143.56,2020-03-17,5261.1,1890000.0,91962797384.28252,1.19345300840336,270399.0,4849.067708333333,2393789.1354166665,270399.0,58,16552923967337.0,104972190.00322084,1.13799991384835
140.7,2020-03-18,5361.4,1800000.0,98079756006.79294,1.19345300840336,270399.0,10000.354166666666,7906210.645833333,270399.0,55,16552923967337.0,104972190.00322084,1.13799991384835
138.04,2020-03-19,6172.0,2180000.0,98259998309.05324,1.19345300840336,270399.0,10000.354166666666,7906210.645833333,270399.0,59,16552923967337.0,104972190.00322084,1.13799991384835
140.11,2020-03-20,6205.3,2220000.0,112778383593.4914,1.2644780733945,284594.0,26211.510416666668,12199955.229166666,284594.0,60,16552923967337.0,104972190.00322084,1.78560484166505
146.3,2020-03-23,6468.9,1880000.0,107128564670.89128,1.2644780733945,284594.0,3278.9166666666665,1741016.6302083333,284594.0,48,16552923967337.0,94627786.06113414,1.78560484166505
153.4,2020-03-24,6744.6,1730000.0,118046727572.5451,1.17028861363636,278131.0,7789.286458333333,4608192.84375,278131.0,48,16552923967337.0,94627786.06113414,1.0702667382949
151.3,2020-03-25,6678.9,1520000.0,123064256188.85924,1.17028861363636,278131.0,7789.286458333333,4608192.84375,278131.0,43,16552923967337.0,95333086.32991289,1.0702667382949
153.24,2020-03-26,6725.1,1180000.0,122445336599.19923,1.17028861363636,278131.0,8263.182291666666,7061532.0,278131.0,40,14143559041805.2,95333086.32991289,1.0702667382949
152.25,2020-03-27,6373.4,1160000.0,123732739823.4625,1.17028861363636,278131.0,8263.182291666666,7061532.0,278131.0,38,14143559041805.2,95333086.32991289,1.0702667382949
152.92,2020-03-30,6391.0,1430000.0,108551603303.50957,0.910426518518518,240627.0,3025.8802083333335,1533178.2447916667,240627.0,39,13912524048946.0,99147879.97675765,0.740414420784793
148.05,2020-03-31,6412.5,1050000.0,117151628726.53436,0.910426518518518,240627.0,3926.7760416666665,2440713.421875,240627.0,42,13912524048946.0,99147879.97675765,0.740414420784793
149.45,2020-04-01,6638.5,1400000.0,117750205634.39989,1.11369449019608,281855.0,3926.7760416666665,2440713.421875,281855.0,39,13912524048946.0,99147879.97675765,0.595457236225901
151.9,2020-04-02,6800.5,1740000.0,120921617010.34784,1.11369449019608,281855.0,3799.8072916666665,3341596.453125,281855.0,46,13912524048946.0,104989801.55573513,0.595457236225901
152.65,2020-04-03,6735.9,1350000.0,124719708453.63536,1.11369449019608,281855.0,3799.8072916666665,3341596.453125,281855.0,42,13912524048946.0,104989801.55573513,0.595457236225901
156.88,2020-04-06,7332.3,1530000.0,124272363451.93964,0.769681285714286,240259.0,4719.703125,2576214.3229166665,240259.0,47,13912524048946.0,106308080.8787355,0.38605682483986
156.04,2020-04-07,7185.2,1320000.0,133484854333.44952,0.769681285714286,240259.0,4719.703125,2576214.3229166665,240259.0,48,13912524048946.0,106308080.8787355,0.38605682483986
154.65,2020-04-08,7361.2,983940.0,131782164465.85344,0.769681285714286,240259.0,5127.203125,2917857.0208333335,240259.0,41,13912524048946.0,106308080.8787355,0.38605682483986
