Category: All categories

Day,bitcoin: (Worldwide)
2023-08-01,42
2023-08-02,45
2023-08-03,43
2023-08-04,44
2023-08-05,42
2023-08-06,40
2023-08-07,43
2023-08-08,44
2023-08-09,46
2023-08-10,47
2023-08-11,43
2023-08-12,40
2023-08-13,40
2023-08-14,43
2023-08-15,44
2023-08-16,43
2023-08-17,53
2023-08-18,74
2023-08-19,54
2023-08-20,46
2023-08-21,48
2023-08-22,51
2023-08-23,49
2023-08-24,47
2023-08-25,45
2023-08-26,41
2023-08-27,41
2023-08-28,43
2023-08-29,55
2023-08-30,50
2023-08-31,46
2023-09-01,46
2023-09-02,40
2023-09-03,40
2023-09-04,42
2023-09-05,42
2023-09-06,42
2023-09-07,42
2023-09-08,42
2023-09-09,40
2023-09-10,38
2023-09-11,43
2023-09-12,44
2023-09-13,41
2023-09-14,39
2023-09-15,41
2023-09-16,36
2023-09-17,36
2023-09-18,43
2023-09-19,41
2023-09-20,40
2023-09-21,41
2023-09-22,39
2023-09-23,35
2023-09-24,35
2023-09-25,39
2023-09-26,38
2023-09-27,38
2023-09-28,38
2023-09-29,37
2023-09-30,35
2023-10-01,38
2023-10-02,45
2023-10-03,41
2023-10-04,40
2023-10-05,38
2023-10-06,38
2023-10-07,37
2023-10-08,37
2023-10-09,39
2023-10-10,39
2023-10-11,39
2023-10-12,38
2023-10-13,39
2023-10-14,36
2023-10-15,36
2023-10-16,49
2023-10-17,46
2023-10-18,44
2023-10-19,43
2023-10-20,52
2023-10-21,46
2023-10-22,45
2023-10-23,61
2023-10-24,100
2023-10-25,76
2023-10-26,66
2023-10-27,57
2023-10-28,51
2023-10-29,47
2023-10-30,53
2023-10-31,52
