Time,Mempool_size
2020-01-02,625878.9739583334
2020-01-03,625878.9739583334
2020-01-04,1210041.0052083333
2020-01-05,1210041.0052083333
2020-01-06,2169052.8072916665
2020-01-07,2169052.8072916665
2020-01-08,4346004.651041667
2020-01-09,4346004.651041667
2020-01-10,2119618.90625
2020-01-11,2119618.90625
2020-01-12,2119618.90625
2020-01-13,1033114.65625
2020-01-14,1033114.65625
2020-01-15,4974662.114583333
2020-01-16,4974662.114583333
2020-01-17,1352525.8645833333
2020-01-18,1352525.8645833333
2020-01-19,2533994.5885416665
2020-01-20,2533994.5885416665
2020-01-21,2806072.8385416665
2020-01-22,2806072.8385416665
2020-01-23,1695159.6979166667
2020-01-24,1695159.6979166667
2020-01-25,1695159.6979166667
2020-01-26,1027525.9791666666
2020-01-27,1027525.9791666666
2020-01-28,8726227.572916666
2020-01-29,8726227.572916666
2020-01-30,2034522.7552083333
2020-01-31,2034522.7552083333
2020-02-01,3032519.71875
2020-02-02,3032519.71875
2020-02-03,2899722.578125
2020-02-04,2899722.578125
2020-02-05,1995597.734375
2020-02-06,1995597.734375
2020-02-07,1995597.734375
2020-02-08,14004858.901041666
2020-02-09,14004858.901041666
2020-02-10,1185951.4166666667
2020-02-11,1185951.4166666667
2020-02-12,6539403.140625
2020-02-13,6539403.140625
2020-02-14,4139825.3229166665
2020-02-15,4139825.3229166665
2020-02-16,1409402.3125
2020-02-17,1409402.3125
2020-02-18,1409402.3125
2020-02-19,3025634.921875
2020-02-20,3025634.921875
2020-02-21,5438748.411458333
2020-02-22,5438748.411458333
2020-02-23,1275621.3958333333
2020-02-24,1275621.3958333333
2020-02-25,3327726.9791666665
2020-02-26,3327726.9791666665
2020-02-27,4133782.0572916665
2020-02-28,4133782.0572916665
2020-02-29,1447005.1979166667
2020-03-01,1447005.1979166667
2020-03-02,1447005.1979166667
2020-03-03,4776531.317708333
2020-03-04,4776531.317708333
2020-03-05,9505765.192708334
2020-03-06,9505765.192708334
2020-03-07,5239483.083333333
2020-03-08,5239483.083333333
2020-03-09,1208771.8072916667
2020-03-10,1208771.8072916667
2020-03-11,6065770.479166667
2020-03-12,6065770.479166667
2020-03-13,20948695.447916668
2020-03-14,20948695.447916668
2020-03-15,20948695.447916668
2020-03-16,2393789.1354166665
2020-03-17,2393789.1354166665
2020-03-18,7906210.645833333
2020-03-19,7906210.645833333
2020-03-20,12199955.229166666
2020-03-21,12199955.229166666
2020-03-22,1741016.6302083333
2020-03-23,1741016.6302083333
2020-03-24,4608192.84375
2020-03-25,4608192.84375
2020-03-26,7061532.0
2020-03-27,7061532.0
2020-03-28,7061532.0
2020-03-29,1533178.2447916667
2020-03-30,1533178.2447916667
2020-03-31,2440713.421875
2020-04-01,2440713.421875
2020-04-02,3341596.453125
2020-04-03,3341596.453125
2020-04-04,11772697.067708334
2020-04-05,11772697.067708334
2020-04-06,2576214.3229166665
