gold_price,Time,Time_btc_hist,price,Estimated_transaction_volume,Time_btc_mc,market capitalisation,Time_btc_bs,block_size,Time_trans,number_of_transaction,Time_mempool_cnt,Mempool_count,Time_mempool_size,Mempool_size,Time_cnf_trans,Confirmed_Transaction,Time_gt,google_trend,Time_diff,mining_difficulty,Time_hash,hash_rate_via_BTC
143.95,2020-01-02,2020-01-02,6967.0,632780.0,2020-01-02,130422953817.668,2020-01-02,0.79468355952381,2020-01-02,287215.0,2020-01-02,1716.7447916666667,2020-01-02,625878.9739583334,2020-01-02,287215.0,2020-01-02,26,2020-01-02,13798783827516.0,2020-01-02,105793194.82492831
145.86,2020-01-03,2020-01-03,7343.1,936290.0,2020-01-03,126280790200.20206,2020-01-03,0.79468355952381,2020-01-03,287215.0,2020-01-03,1716.7447916666667,2020-01-03,625878.9739583334,2020-01-03,287215.0,2020-01-03,29,2020-01-03,13798783827516.0,2020-01-03,105793194.82492831
147.39,2020-01-06,2020-01-06,7759.1,786750.0,2020-01-06,133388991086.87988,2020-01-06,0.79468355952381,2020-01-06,287215.0,2020-01-06,4644.067708333333,2020-01-06,2169052.8072916665,2020-01-06,287215.0,2020-01-06,30,2020-01-06,13798783827516.0,2020-01-06,105793194.82492831
147.97,2020-01-07,2020-01-07,8155.7,1010000.0,2020-01-07,140557168287.4443,2020-01-07,0.79468355952381,2020-01-07,287215.0,2020-01-07,4644.067708333333,2020-01-07,2169052.8072916665,2020-01-07,287215.0,2020-01-07,36,2020-01-07,13798783827516.0,2020-01-07,105793194.82492831
146.86,2020-01-08,2020-01-08,8059.6,1190000.0,2020-01-08,147798610895.50055,2020-01-08,1.0634908943662,2020-01-08,318019.0,2020-01-08,8607.5,2020-01-08,4346004.651041667,2020-01-08,318019.0,2020-01-08,38,2020-01-08,13798783827516.0,2020-01-08,105793194.82492831
146.03,2020-01-09,2020-01-09,7842.4,786500.0,2020-01-09,146089575425.2795,2020-01-09,1.0634908943662,2020-01-09,318019.0,2020-01-09,8607.5,2020-01-09,4346004.651041667,2020-01-09,318019.0,2020-01-09,29,2020-01-09,13798783827516.0,2020-01-09,107202820.5002444
146.91,2020-01-10,2020-01-10,8187.1,1050000.0,2020-01-10,141913856953.47913,2020-01-10,1.0634908943662,2020-01-10,318019.0,2020-01-10,4564.328125,2020-01-10,2119618.90625,2020-01-10,318019.0,2020-01-10,30,2020-01-10,13798783827516.0,2020-01-10,107202820.5002444
145.82,2020-01-13,2020-01-13,8111.4,610660.0,2020-01-13,148204228775.38776,2020-01-13,0.825020880794702,2020-01-13,283136.0,2020-01-13,2893.1666666666665,2020-01-13,1033114.65625,2020-01-13,283136.0,2020-01-13,27,2020-01-13,13798783827516.0,2020-01-13,105144996.70636413
145.69,2020-01-14,2020-01-14,8829.2,1480000.0,2020-01-14,147446058196.45944,2020-01-14,0.825020880794702,2020-01-14,283136.0,2020-01-14,2893.1666666666665,2020-01-14,1033114.65625,2020-01-14,283136.0,2020-01-14,38,2020-01-14,13819009697340.3,2020-01-14,105144996.70636413
146.54,2020-01-15,2020-01-15,8818.3,1170000.0,2020-01-15,159481192213.82108,2020-01-15,0.825020880794702,2020-01-15,283136.0,2020-01-15,7369.734375,2020-01-15,4974662.114583333,2020-01-15,283136.0,2020-01-15,38,2020-01-15,13819009697340.3,2020-01-15,105144996.70636413
146.31,2020-01-16,2020-01-16,8726.9,748320.0,2020-01-16,159960761751.8495,2020-01-16,0.983502176100629,2020-01-16,325947.0,2020-01-16,7369.734375,2020-01-16,4974662.114583333,2020-01-16,325947.0,2020-01-16,32,2020-01-16,13819009697340.3,2020-01-16,105144996.70636413
146.58,2020-01-17,2020-01-17,8913.1,794110.0,2020-01-17,158412991117.64667,2020-01-17,0.983502176100629,2020-01-17,325947.0,2020-01-17,3413.4479166666665,2020-01-17,1352525.8645833333,2020-01-17,325947.0,2020-01-17,33,2020-01-17,13819009697340.3,2020-01-17,106142030.5758593
