Time,hash_rate_via_BTC
2020-01-02,105793194.82492831
2020-01-03,105793194.82492831
2020-01-04,105793194.82492831
2020-01-05,105793194.82492831
2020-01-06,105793194.82492831
2020-01-07,105793194.82492831
2020-01-08,105793194.82492831
2020-01-09,107202820.5002444
2020-01-10,107202820.5002444
2020-01-11,107202820.5002444
2020-01-12,107202820.5002444
2020-01-13,105144996.70636413
2020-01-14,105144996.70636413
2020-01-15,105144996.70636413
2020-01-16,105144996.70636413
2020-01-17,106142030.5758593
2020-01-18,106142030.5758593
2020-01-19,106142030.5758593
2020-01-20,106142030.5758593
2020-01-21,108984910.82487468
2020-01-22,108984910.82487468
2020-01-23,108984910.82487468
2020-01-24,108984910.82487468
2020-01-25,110600317.70289543
2020-01-26,110600317.70289543
2020-01-27,110600317.70289543
2020-01-28,110600317.70289543
2020-01-29,110086945.93868303
2020-01-30,110086945.93868303
2020-01-31,110086945.93868303
2020-02-01,110086945.93868303
2020-02-02,110981010.23884848
2020-02-03,110981010.23884848
2020-02-04,110981010.23884848
2020-02-05,110981010.23884848
2020-02-06,113456448.3565329
2020-02-07,113456448.3565329
2020-02-08,113456448.3565329
2020-02-09,113456448.3565329
2020-02-10,110381152.56371304
2020-02-11,110381152.56371304
2020-02-12,110381152.56371304
2020-02-13,110381152.56371304
2020-02-14,108294601.66974202
2020-02-15,108294601.66974202
2020-02-16,108294601.66974202
2020-02-17,108294601.66974202
2020-02-18,111150618.92552446
2020-02-19,111150618.92552446
2020-02-20,111150618.92552446
2020-02-21,111150618.92552446
2020-02-22,111729559.85059436
2020-02-23,111729559.85059436
2020-02-24,111729559.85059436
2020-02-25,111729559.85059436
2020-02-26,109924843.8400675
2020-02-27,109924843.8400675
2020-02-28,109924843.8400675
2020-02-29,109924843.8400675
2020-03-01,110892855.15019846
2020-03-02,110892855.15019846
2020-03-03,110892855.15019846
2020-03-04,110892855.15019846
2020-03-05,119877988.6719989
2020-03-06,119877988.6719989
2020-03-07,119877988.6719989
2020-03-08,119877988.6719989
2020-03-09,121197746.34545204
2020-03-10,121197746.34545204
2020-03-11,121197746.34545204
2020-03-12,121197746.34545204
2020-03-13,116070927.61330412
2020-03-14,116070927.61330412
2020-03-15,116070927.61330412
2020-03-16,116070927.61330412
2020-03-17,104972190.00322084
2020-03-18,104972190.00322084
2020-03-19,104972190.00322084
2020-03-20,104972190.00322084
2020-03-21,94627786.06113414
2020-03-22,94627786.06113414
2020-03-23,94627786.06113414
2020-03-24,94627786.06113414
2020-03-25,95333086.32991289
2020-03-26,95333086.32991289
2020-03-27,95333086.32991289
2020-03-28,95333086.32991289
2020-03-29,99147879.97675765
2020-03-30,99147879.97675765
2020-03-31,99147879.97675765
2020-04-01,99147879.97675765
