Time,Confirmed_Transaction
2020-01-01,251867
2020-01-02,291935
2020-01-03,323153
2020-01-04,282301
2020-01-05,288212
2020-01-06,297843
2020-01-07,347212
2020-01-08,318633
2020-01-09,322838
2020-01-10,332463
2020-01-11,303555
2020-01-12,278853
2020-01-13,299786
2020-01-14,346978
2020-01-15,328833
2020-01-16,326587
2020-01-17,323884
2020-01-18,290970
2020-01-19,282105
2020-01-20,312967
2020-01-21,311835
2020-01-22,326380
2020-01-23,337280
2020-01-24,311823
2020-01-25,283292
2020-01-26,256739
2020-01-27,285400
2020-01-28,339784
2020-01-29,340075
2020-01-30,332584
2020-01-31,329369
2020-02-01,304884
2020-02-02,292383
2020-02-03,336226
2020-02-04,307816
2020-02-05,363153
2020-02-06,321928
2020-02-07,333319
2020-02-08,315526
2020-02-09,318974
2020-02-10,295461
2020-02-11,361869
2020-02-12,350973
2020-02-13,336765
2020-02-14,329123
2020-02-15,316931
2020-02-16,299527
2020-02-17,337935
2020-02-18,327054
2020-02-19,340104
2020-02-20,311982
2020-02-21,341390
2020-02-22,300166
2020-02-23,289114
2020-02-24,328045
2020-02-25,339313
2020-02-26,328537
2020-02-27,338194
2020-02-28,361653
2020-02-29,309086
2020-03-01,312717
2020-03-02,341655
2020-03-03,346828
2020-03-04,350503
2020-03-05,350421
2020-03-06,338758
2020-03-07,313782
2020-03-08,304534
2020-03-09,347351
2020-03-10,329508
2020-03-11,290284
2020-03-12,346057
2020-03-13,279662
2020-03-14,276029
2020-03-15,224876
2020-03-16,269587
2020-03-17,279277
2020-03-18,233212
2020-03-19,265543
2020-03-20,282852
2020-03-21,238359
2020-03-22,215499
2020-03-23,256978
2020-03-24,280363
2020-03-25,219772
2020-03-26,286521
2020-03-27,273175
2020-03-28,241957
2020-03-29,234751
2020-03-30,278279
2020-03-31,288338
2020-04-01,285331
2020-04-02,300020
2020-04-03,276158
2020-04-04,255653
2020-04-05,237774
2020-04-06,282652
2020-04-07,310534
2020-04-08,283150
2020-04-09,289249
2020-04-10,286082
2020-04-11,249141
2020-04-12,232510
2020-04-13,281944
