iter	Logloss
0	0.6908965031
1	0.6891686366
2	0.6878396178
3	0.6858973458
4	0.6833404404
5	0.6816529182
6	0.6798608115
7	0.678650138
8	0.677312233
9	0.675837708
10	0.6745025607
11	0.6724217796
12	0.6709928559
13	0.6700009865
14	0.6693706337
15	0.6678650224
16	0.6667890126
17	0.6651992849
18	0.6626737561
19	0.6612188561
20	0.6599151764
21	0.6589733696
22	0.6575406361
23	0.6565428881
24	0.6552602079
25	0.6546070841
26	0.6532949099
27	0.6518524838
28	0.6507430074
29	0.6500344707
30	0.6484554827
31	0.6472215464
32	0.6462745099
33	0.6455291813
34	0.6447402863
35	0.6437324091
36	0.6424860621
37	0.641092087
38	0.6392841373
39	0.6387734394
40	0.6382677095
41	0.6374498866
42	0.6368079414
43	0.6363932647
44	0.6357863483
45	0.6352973429
46	0.6344154884
47	0.633595333
48	0.6324776147
49	0.6311619277
50	0.6304611346
51	0.6296589952
52	0.6291756894
53	0.6282254545
54	0.6277085374
55	0.6265107016
56	0.6260191588
57	0.6254598388
58	0.6245111917
59	0.6230676344
60	0.6215522125
61	0.6207575916
62	0.6200255296
63	0.6190364548
64	0.6184545562
65	0.6175656167
66	0.6163202479
67	0.615402247
68	0.6145575996
69	0.6133912831
70	0.6126345224
71	0.6119542312
72	0.6110098599
73	0.6102983222
74	0.6092058107
75	0.6078281534
76	0.6070146045
77	0.6061072636
78	0.6053243257
79	0.6049291708
80	0.6035758083
81	0.6021769298
82	0.6013582798
83	0.6003778375
84	0.5993437364
85	0.5986498515
86	0.5969873346
87	0.5955319601
88	0.594662306
89	0.5938090524
90	0.5925748374
91	0.5917980635
92	0.5908609612
93	0.5896857801
94	0.5884177484
95	0.5873429101
96	0.5854594419
97	0.5835790734
98	0.5830215729
99	0.5821479381
