iter	Passed	Remaining
0	0	63
1	1	53
2	1	53
3	2	49
4	2	48
5	2	45
6	3	44
7	3	44
8	4	43
9	4	42
10	5	42
11	5	41
12	6	41
13	6	40
14	7	40
15	7	39
16	8	39
17	8	38
18	8	38
19	9	37
20	9	36
21	10	36
22	10	36
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	14	34
29	14	34
30	15	33
31	15	33
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	19	31
38	19	30
39	20	30
40	20	29
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	21
57	29	21
58	30	20
59	30	20
60	31	20
61	31	19
62	32	19
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
